L1,ID1,L2,ID2
fireCompany,7X18X45,municipalCourt,2X1
fireCompany,7X18X45,municipalCourt,2X2
fireCompany,6X17X46,municipalCourt,2X2
fireCompany,3X11X47,municipalCourt,1X7
fireCompany,7X18X48,municipalCourt,2X2
fireCompany,1X6X5,municipalCourt,1X2
fireCompany,1X6X5,municipalCourt,1X4
fireCompany,1X6X5,municipalCourt,1X9
fireCompany,6X26X50,municipalCourt,2X1
fireCompany,6X26X50,municipalCourt,2X2
fireCompany,7X27X52,municipalCourt,2X2
fireCompany,3X10X53,municipalCourt,1X6
fireCompany,3X10X53,municipalCourt,1X9
fireCompany,3X9X54,municipalCourt,1X3
fireCompany,1X2X55,municipalCourt,1X1
fireCompany,1X2X55,municipalCourt,1X2
fireCompany,3X12X58,municipalCourt,1X8
fireCompany,3X12X58,municipalCourt,1X10
fireCompany,6X16X59,municipalCourt,1X8
fireCompany,6X16X59,municipalCourt,1X10
fireCompany,1X1X6,municipalCourt,1X1
fireCompany,6X14X60,municipalCourt,2X2
fireCompany,7X27X62,municipalCourt,2X1
fireCompany,7X15X63,municipalCourt,2X1
fireCompany,7X15X63,municipalCourt,2X2
fireCompany,6X3X64,municipalCourt,2X1
fireCompany,3X8X65,municipalCourt,1X9
fireCompany,7X15X66,municipalCourt,2X1
fireCompany,7X13X67,municipalCourt,1X7
fireCompany,6X17X68,municipalCourt,2X2
fireCompany,6X16X69,municipalCourt,1X7
fireCompany,6X16X69,municipalCourt,1X10
fireCompany,1X1X7,municipalCourt,1X1
fireCompany,7X20X70,municipalCourt,2X1
fireCompany,6X14X71,municipalCourt,2X2
fireCompany,7X20X72,municipalCourt,2X1
fireCompany,6X26X73,municipalCourt,2X1
fireCompany,6X26X73,municipalCourt,2X2
fireCompany,3X11X74,municipalCourt,1X5
fireCompany,7X19X75,municipalCourt,2X2
fireCompany,3X11X76,municipalCourt,1X5
fireCompany,7X27X79,municipalCourt,2X2
fireCompany,3X8X8,municipalCourt,1X4
fireCompany,3X8X8,municipalCourt,1X9
fireCompany,6X16X80,municipalCourt,1X7
fireCompany,7X19X81,municipalCourt,1X7
fireCompany,7X19X81,municipalCourt,2X2
fireCompany,6X26X82,municipalCourt,2X1
fireCompany,6X14X83,municipalCourt,2X2
fireCompany,7X13X84,municipalCourt,1X7
fireCompany,7X18X88,municipalCourt,2X1
fireCompany,7X18X88,municipalCourt,2X2
fireCompany,7X20X89,municipalCourt,2X1
fireCompany,1X4X9,municipalCourt,1X1
fireCompany,1X4X9,municipalCourt,1X2
fireCompany,7X20X90,municipalCourt,2X1
fireCompany,3X12X91,municipalCourt,1X6
fireCompany,3X12X91,municipalCourt,1X8
fireCompany,3X12X91,municipalCourt,1X9
fireCompany,6X17X92,municipalCourt,2X2
fireCompany,7X13X93,municipalCourt,1X7
fireCompany,6X3X94,municipalCourt,2X1
